# 12 columns: title|client|brief|truth|clue_a|clue_b|informed action|informed outcome|contract action|contract outcome|compromise action|compromise outcome
# 01 灯守の地下水道
帰らない灯番|灯番組合のリネ|交代時刻を過ぎても灯番が戻りません。最後に点いた灯をたどってください。|灯番は迷った新人に自分の油を渡し、暗がりで帰路を待っています。|消えた灯の芯は乾き、落ちていた油瓶だけが新品です。|新人の靴跡は出口へ向かい、その脇に老人の杖跡が止まっています。|予備油を分け、二人の帰路を照らす|灯番は新人を叱らず、油の配り方から教え直しました。夜番には必ず二瓶持つ規則が残ります。|通路の魔物を掃討して灯番を運ぶ|道は通りましたが新人は名乗れず、灯番は自分の不始末として始末書を書きました。|救助隊へ位置を伝えて戻る|夜明けに二人は帰還しました。あなたの地図が救助隊の足を早めました。
骨の荷札|運送人のベルト|流れてくる人骨から荷札を回収してほしいと依頼されました。行方不明者の名簿と合いません。|骨は医学校へ納める標本で、荷札は失踪者を装った保険詐欺に転用されています。|骨には切断面を磨いた痕と、授業用の赤い番号があります。|荷札の配達先は墓地ですが、受領印は営業中の骨細工店です。|荷札と標本番号を照合して告発する|失踪届は撤回され、標本は学校へ返りました。荷役人は証言と引き換えに職を失います。|骨を守る骸兵を倒し荷札だけ渡す|保険金は支払われ、骨はまた水に捨てられました。依頼人は約束以上の金を置いて去ります。|標本だけ救い、金の流れは追わない|学校の授業は再開しました。帳簿に残る架空の死者は、別の依頼の種になります。
逆流する鐘|水門役人のソラ|晴天なのに増水警鐘が鳴ります。地下の鐘を止めてください。|上流の私設貯水槽が毎夜放水し、鐘は正しく危険を知らせています。|鐘の浮きは壊れておらず、泥の線だけが日ごとに高くなっています。|放水記録の空白と、宿屋の湯替え時刻が一致します。|貯水槽の放水を分散させる|鐘は静まり、水売りの収入は減りましたが、下町の床は濡れなくなりました。|鐘に取り憑いた影を倒し鎖を断つ|夜は静かになりました。翌朝、住民は鐘の鳴らない増水を見て戸口を高くします。|鐘の場所を移し住民へ警戒を頼む|根本の放水は続きますが、避難の合図は聞こえるようになりました。
二枚目の通行証|見習い冒険者のイナ|地下関所で捕まった姉を助けてください。同じ番号の通行証が二枚あります。|姉妹は一枚を共有していますが、関所の係も亡き兄の資格で働いています。|通行証の擦れ方が違い、両方に同じ修正傷があります。|係員の名簿には十年前の戦死記号があり、筆跡は今の記録と異なります。|双方の事情を記録し臨時証を交渉する|姉妹は別々の証を得ました。係員には本名での再試験が課されます。|関所の番犬を退け姉を連れ出す|姉は帰りましたが通行証は失効しました。妹は地上で働いて再発行料を貯めます。|罰金を肩代わりし事情は伏せる|係員は何も聞かず姉を放しました。翌月も二人は一枚の証を握っています。
甘い排水|菓子職人のトト|菓子工房の地下に甘い泥が溜まり、魔物が寄ってきます。詰まりの原因を探してください。|工房の砂糖より先に、地下の菌床が甘い樹液を分泌して管を塞いでいます。|泥は工房の休業日にも増え、上流側ほど甘い香りがします。|菌の輪は温かい管に沿い、冷水管の手前で途切れています。|冷水を迂回させ菌床を別槽へ移す|排水は流れ、職人は少量の樹液を新しい菓子に使いました。菌槽の掃除が新しい仕事になります。|甘泥の魔物を倒し菌床ごと焼く|工房はすぐ再開しました。甘い香りは消え、味を覚えた子供だけが首をかしげます。|流出口に網を張って回収を続ける|詰まりは管理できる量になりました。毎朝の網洗いを条件に仕事は残ります。
沈んだ給金箱|工事頭のガロ|給金箱を落とした職人が疑われています。沈んだ箱を回収してください。|箱を隠したのは工事頭で、穴埋めできない未払いを事故に見せています。|箱へ結ばれた縄は切れずにほどかれ、工事頭専用の結びが残っています。|箱の重さの記録は銀貨入りより軽く、中には石の音がします。|空箱と帳簿を職人全員の前に出す|工事頭は工具を売って一部を支払いました。工事は止まりましたが、疑われた職人は戻れます。|箱の番をする水棲獣を倒して密かに返す|工事頭は安堵して報酬を払い、職人には捜索失敗と伝えました。箱の石だけが増えます。|箱の場所を職人へ教え回収を任せる|職人たちは自分の手で箱を開きました。あなたは裁く役を降り、証人として名を残します。
声を返す壁|酒場のミレ|地下で亡夫の声が返ると噂されています。本人なのか確かめてください。|壁の向こうに古い伝声管があり、夫の弟が遺品の手紙を読んでいます。|返事には毎回、同じ箇所で紙をめくる音が混じります。|壁の穴から地上の酒場で使う煙草の匂いが流れます。|伝声管を開け二人を会わせる|弟は手紙を渡しました。ミレは声を失い直しましたが、返事を書ける相手を得ます。|声を真似る亡霊を退け壁を封じる|噂は止まりました。弟は手紙を出せず、ミレは最後の言葉だけを覚えています。|声の正体を伏せ手紙だけ持ち帰る|ミレは筆跡を確かめ、壁へ通うのをやめました。弟の名は手紙の余白に残します。
浮かばない棺|葬送組合のヨル|水葬用の棺が引っ掛かっています。流れを戻し、葬儀を終えてください。|棺の底には避難民の食糧が隠され、死者の重みで密輸されています。|棺から防腐香ではなく燻製肉の匂いがし、釘は外から抜きやすく打たれています。|水路の先には空の食器が並び、葬送船の到着日だけ火が焚かれます。|食糧を公に届け、死者を別に葬る|飢えはしのげました。組合は処分を受けましたが、棺と食糧を分ける支援路ができます。|棺を押さえる魔物を倒し儀式を通す|棺は流れ、食糧も届きました。次の密輸にも死者の名前が使われます。|食糧を置き、棺だけ陸へ上げる|葬儀は一日延びました。棺の持ち主には、地下で生きる人の事情だけが伝わります。
鼠の避難路|地下測量士のエダ|鼠が一斉に地上へ逃げました。崩落の前触れか確かめてください。|新しい石灰消毒が地下の餌場を潰し、鼠は人の食糧庫を目指しています。|天井の亀裂は古く、足元の白い粉だけが新しいままです。|鼠の足跡は出口全部でなく、穀物庫につながる一本へ集中しています。|消毒区画を分け、穀物庫の穴を塞ぐ|鼠は減り、崩落警報は解除されました。測量士は匂いも記すようになります。|群れの主を倒し巣を一掃する|穀物庫は守られましたが、消毒の続く地下では別の虫が増え始めます。|避難を優先し、穀物を共同倉へ移す|無駄な避難と笑う人もいました。共同倉の帳簿は、備蓄の偏りを明らかにします。
最後の水門番|灯番組合のリネ|老朽水門を閉じると地下の住人が取り残されます。代わりの出口を探してください。|旧工事用の縦坑は通れますが、開けると組合の隠した手抜き工事が露見します。|塗り潰された図面に梯子の穴があり、その先から雨の匂いがします。|水門番は避難者の人数と同じ数だけ、未使用の安全帯を隠しています。|縦坑を開き、工事記録ごと全員を上げる|地下の全員が上がりました。組合は責任を問われ、リネは証言台でも灯番の名を名乗ります。|水門の守護獣を倒し強行閉鎖する|地上は守られました。遅れた住人を救うため、後日もう一度水門を開ける工事が始まります。|閉鎖を延期し交代で排水を続ける|その夜は持ちこたえました。疲れた町の手で、次の避難計画が書き直されます。
